"","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원."
"77","028050","삼성엔지니어링","-",17600,"-","-","5,236","3.36",0,0,1896,NA,"코스피","서비스업",17600,100,3.4496e+12
"78","071050","한국금융지주","-",59500,"8,731","6.81","62,616","0.95",1600,2.69,1997,NA,"코스피","금융업",59500,100,3315696524000
"79","009830","한화케미칼","-",20200,"5,021","4.02","36,250","0.56",350,1.73,1723,NA,"코스피","화학",20200,250,3294829958800
"80","081660","휠라코리아","-",53500,"1,030","51.94","13,074","4.09",50,0.09,2023,NA,"코스피","유통업",53500,2500,3269656245000
"81","086900","메디톡스","-",577800,"13,459","42.93","34,368","16.81",2200,0.38,720,NA,"코스닥","제약",577800,2900,3268345923000
"82","002380","KCC","-",309000,"4,249","72.72","554,654","0.56",9000,2.91,1450,NA,"코스피","화학",309000,3000,3261962517000
"83","003410","쌍용양회","-",6290,"624","10.08","3,879","1.62",214,3.4,1496,NA,"코스피","비금속광물",6290,10,3169276852550
"84","241560","두산밥캣","-",31500,"2,725","11.56","34,190","0.92",800,2.54,2154,NA,"코스피","금융업",31500,650,3157848729000
"85","003490","대한항공","-",33050,"8,639","3.83","37,824","0.87",250,0.76,1503,NA,"코스피","운수창고업",33050,-400,3134615153700
"86","028300","에이치엘비","-",79900,"-","-","2,123","37.64",0,0,165,NA,"코스닥","운송장비·부품",79900,1800,3129802210800
"87","007070","GS리테일","-",40500,"1,535","26.38","26,369","1.54",600,1.48,1654,NA,"코스피","유통업",40500,1050,3.1185e+12
"88","047810","한국항공우주","-",31900,"-","-","11,699","2.73",0,0,1960,NA,"코스피","운수장비",31900,1000,3109455913300
"89","008770","호텔신라","-",76500,"667","114.69","16,687","4.58",350,0.46,1692,NA,"코스피","유통업",76500,400,3002481256500
"90","017800","현대엘리베이","-",107000,"3,801","28.15","33,952","3.15",500,0.47,1839,NA,"코스피","기계",107000,2500,2905934462000
"91","016360","삼성증권","-",31500,"3,135","10.05","49,380","0.64",1000,3.17,1822,NA,"코스피","금융업",31500,50,2.81295e+12
"92","263750","펄어비스","-",207900,"1,402","148.29","22,807","9.12",0,0,1239,NA,"코스닥","IT S/W & SVC",207900,6100,2690849700000
"93","011780","금호석유","-",87300,"7,647","11.42","55,019","1.59",1000,1.15,1767,NA,"코스피","화학",87300,1700,2659829424300
"94","007310","오뚜기","-",724000,"39,458","18.35","319,178","2.27",7000,0.97,1660,NA,"코스피","음식료품",724000,4000,2610191588000
"95","008560","메리츠종금증권","-",4280,"634","6.75","4,478","0.96",200,4.67,1688,NA,"코스피","금융업",4280,80,2592143788160
"96","253450","스튜디오드래곤","-",92400,"1,053","87.75","13,141","7.03",0,0,1214,NA,"코스닥","오락·문화",92400,1500,2591957676000
"97","030000","제일기획","-",22500,"1,255","17.93","7,354","3.06",760,3.38,1904,NA,"코스피","서비스업",22500,50,2588427562500
"98","010060","OCI","-",107000,"9,849","10.86","140,563","0.76",1950,1.82,1728,NA,"코스피","화학",107000,2500,2551882697000
"99","004170","신세계","-",256000,"18,530","13.82","347,557","0.74",1250,0.49,1537,NA,"코스피","유통업",256000,2000,2520366336000
"100","000100","유한양행","-",204500,"9,331","21.92","123,265","1.66",2000,0.98,1316,NA,"코스피","의약품",204500,-1000,2496812893000
"101","000060","메리츠화재","-",21850,"3,510","6.23","16,071","1.36",1140,5.22,1311,NA,"코스피","금융업",21850,300,2.483908e+12
"102","010620","현대미포조선","-",60000,"10,984","5.46","55,567","1.08",0,0,1738,NA,"코스피","운수장비",60000,800,2396528940000
"103","138930","BNK금융지주","-",7330,"1,200","6.11","21,653","0.34",230,3.14,2114,NA,"코스피","금융업",7330,-20,2389105353180
"104","028670","팬오션","-",4445,"268","16.59","4,469","0.99",0,0,1900,NA,"코스피","운수창고업",4445,55,2376160125115
"105","064350","현대로템","-",27850,"-","-","15,811","1.76",0,0,1982,NA,"코스피","운수장비",27850,500,2.36725e+12
"106","000880","한화","-",31350,"5,619","5.58","46,382","0.68",600,1.91,1361,NA,"코스피","화학",31350,-500,2349956342250
"107","079440","오렌지라이프","-",28000,"4,149","6.75","44,738","0.63",2400,8.57,2018,NA,"코스피","금융업",28000,-1000,2.296e+12
"108","047040","대우건설","-",5390,"630","8.56","5,396","1",0,0,1957,NA,"코스피","건설업",5390,-10,2240206018820
"109","069620","대웅제약","-",188500,"3,060","61.6","44,831","4.2",600,0.32,1992,NA,"코스피","의약품",188500,2000,2184069387500
"110","068760","셀트리온제약","-",63500,"-","-","10,088","6.29",0,0,603,NA,"코스닥","제약",63500,200,2163184904000
"111","294870","HDC현대산업개발","-",48200,"-","-","-","-",NA,NA,2180,NA,"코스피","건설업",48200,850,2117822204000
"112","069960","현대백화점","-",90400,"11,242","8.04","169,016","0.53",800,0.88,1995,NA,"코스피","유통업",90400,200,2115580666400
"113","011070","LG이노텍","-",86400,"7,386","11.7","82,426","1.05",250,0.29,1749,NA,"코스피","전기전자",86400,-1300,2044838044800
"114","000150","두산","-",111500,"1,909","58.41","100,593","1.11",5100,4.57,1321,NA,"코스피","서비스업",111500,2000,2033548373000
"115","009420","한올바이오파마","-",36200,"114","317.54","2,129","17",0,0,1713,NA,"코스피","의약품",36200,550,1891111095600
"116","020150","일진머티리얼즈","-",41000,"1,026","39.96","11,531","3.56",650,1.59,1859,NA,"코스피","전기전자",41000,950,1890544235000
"117","026960","동서","-",17900,"1,233","14.52","12,239","1.46",700,3.91,1891,NA,"코스피","유통업",17900,-100,1.78463e+12
"118","180640","한진칼","-",29800,"3,717","8.02","25,481","1.17",125,0.42,2131,NA,"코스피","금융업",29800,-2000,1763279648400
"119","039490","키움증권","-",78200,"10,870","7.19","68,988","1.13",1300,1.66,1948,NA,"코스피","금융업",78200,1200,1728199668000
"120","034230","파라다이스","-",18850,"-","-","10,932","1.72",100,0.53,218,NA,"코스닥","오락·문화",18850,-100,1714269367200
"121","111770","영원무역","-",38350,"2,477","15.48","27,747","1.38",300,0.78,2088,NA,"코스피","유통업",38350,1700,1699344797800
"122","012450","한화에어로스페이스","-",32500,"-","-","41,433","0.78",0,0,1780,NA,"코스피","운수장비",32500,0,1.6913e+12
"123","145020","휴젤","-",381500,"19,475","19.59","161,504","2.36",0,0,982,NA,"코스닥","제약",381500,11700,1662655207500
"124","078340","컴투스","-",129000,"11,396","11.32","59,141","2.18",1400,1.09,652,NA,"코스닥","IT S/W & SVC",129000,-1600,1659768180000
"125","138040","메리츠금융지주","-",11550,"2,596","4.45","14,400","0.8",520,4.5,2111,NA,"코스피","금융업",11550,-450,1619590826700
"126","036490","SK머티리얼즈","-",151000,"10,124","14.92","36,567","4.13",3550,2.35,246,NA,"코스닥","IT H/W",151000,-3200,1592698623000
"127","006280","녹십자","-",136000,"4,665","29.15","89,010","1.53",1250,0.92,1633,NA,"코스피","의약품",136000,1500,1589369168000
"128","009240","한샘","-",67400,"5,413","12.45","21,565","3.13",1200,1.78,1705,NA,"코스피","유통업",67400,-1200,1586186747200
"129","006260","LS","-",49100,"10,691","4.59","84,524","0.58",1250,2.55,1632,NA,"코스피","금융업",49100,600,1.58102e+12
"130","042670","두산인프라코어","-",7590,"627","12.11","7,662","0.99",0,0,1952,NA,"코스피","기계",7590,-50,1579917610920
"131","161890","한국콜마","-",70500,"2,240","31.47","14,458","4.88",300,0.43,2127,NA,"코스피","화학",70500,900,1575442209000
"132","004370","농심","-",254500,"15,678","16.23","300,600","0.85",4000,1.57,1545,NA,"코스피","음식료품",254500,6500,1548032389000
"133","120110","코오롱인더","-",57300,"4,830","11.86","76,824","0.75",1100,1.92,2096,NA,"코스피","화학",57300,3000,1545887532000
"134","000240","한국타이어월드와이드","-",16600,"1,849","8.98","31,402","0.53",300,1.81,1331,NA,"코스피","금융업",16600,100,1544134871800
"135","025980","아난티","-",18750,"32","585.94","4,017","4.67",0,0,151,NA,"코스닥","오락·문화",18750,-2200,1543517156250
"136","114090","GKL","-",24900,"1,302","19.12","8,602","2.89",730,2.93,2090,NA,"코스피","서비스업",24900,100,1540206183000
"137","012510","더존비즈온","-",51900,"1,350","38.44","6,203","8.37",400,0.77,1781,NA,"코스피","서비스업",51900,700,1540013130000
"138","073240","금호타이어","-",5310,"-","-","6,042","0.88",0,0,2006,NA,"코스피","화학",5310,20,1525352123970
"139","051600","한전KPS","-",33200,"3,021","10.99","20,113","1.65",1470,4.43,1963,NA,"코스피","건설업",33200,100,1.494e+12
"140","095700","제넥신","-",72600,"-","-","5,676","12.79",0,0,790,NA,"코스닥","기타서비스",72600,0,1483013558400
"141","010120","LS산전","-",49000,"3,583","13.68","38,191","1.28",1100,2.24,1730,NA,"코스피","전기전자",49000,-350,1.47e+12
"142","003240","태광산업","-",1320000,"164,917","8","2,430,678","0.54",1925,0.15,1492,NA,"코스피","화학",1320000,-51000,1.469688e+12
"143","139130","DGB금융지주","-",8310,"1,787","4.65","23,088","0.36",340,4.09,2115,NA,"코스피","금융업",8310,-70,1405601872230
"144","005440","현대그린푸드","-",14300,"1,299","11.01","17,132","0.83",80,0.56,1598,NA,"코스피","유통업",14300,0,1397174092600
"145","031430","신세계인터내셔날","-",194500,"3,371","57.7","69,236","2.81",600,0.31,1910,NA,"코스피","유통업",194500,5500,1.38873e+12
"146","000670","영풍","-",745000,"142,197","5.24","1,610,072","0.46",10000,1.34,1351,NA,"코스피","철강금속",745000,-7000,1372319800000
"147","204320","만도","-",28950,"102","283.82","28,786","1.01",200,0.69,2141,NA,"코스피","운수장비",28950,0,1359408624000
"148","011790","SKC","-",35800,"3,104","11.53","38,631","0.93",900,2.51,1769,NA,"코스피","화학",35800,400,1343737069000
"149","192820","코스맥스","-",130000,"1,877","69.26","21,704","5.99",300,0.23,2137,NA,"코스피","화학",130000,2000,1306436170000
"150","001740","SK네트웍스","-",5200,"136","38.24","9,546","0.54",120,2.31,1417,NA,"코스피","유통업",5200,-70,1290575764400
"151","214320","이노션","-",63300,"3,074","20.59","33,615","1.88",1000,1.58,2146,NA,"코스피","서비스업",63300,-600,1.266e+12
"152","018250","애경산업","-",47600,"1,785","26.67","5,524","8.62",350,0.74,1844,NA,"코스피","화학",47600,600,1250268026000
"153","056190","에스에프에이","-",34600,"5,544","6.24","21,646","1.6",1245,3.6,486,NA,"코스닥","기계·장비",34600,0,1242443096000
"154","003000","부광약품","-",24800,"188","131.91","3,333","7.44",200,0.81,1479,NA,"코스피","의약품",24800,800,1211983018400
"155","041510","에스엠","-",52300,"200","261.5","15,824","3.31",0,0,318,NA,"코스닥","오락·문화",52300,300,1204016657300
"156","057050","현대홈쇼핑","-",99000,"10,473","9.45","128,703","0.77",1700,1.72,1974,NA,"코스피","유통업",99000,100,1.188e+12
"157","005250","녹십자홀딩스","-",25100,"955","26.28","16,406","1.53",300,1.2,1585,NA,"코스피","서비스업",25100,700,1180408071000
"158","028150","GS홈쇼핑","-",179600,"16,677","10.77","162,004","1.11",6500,3.62,164,NA,"코스닥","통신방송서비스",179600,-100,1.178625e+12
"159","000080","하이트진로","-",16600,"182","91.21","17,074","0.97",800,4.82,1314,NA,"코스피","음식료품",16600,-350,1164217942600
"160","011200","현대상선","-",3695,"-","-","2,853","1.3",0,0,1755,NA,"코스피","운수창고업",3695,80,1152122530765
"161","034020","두산중공업","-",9730,"-","-","28,373","0.34",0,0,1925,NA,"코스피","기계",9730,30,1139838393190
"162","098460","고영","-",82500,"2,013","40.98","11,787","7",700,0.85,806,NA,"코스닥","기계·장비",82500,-1000,1129255957500
"163","046890","서울반도체","-",19350,"700","27.64","10,196","1.9",183,0.95,376,NA,"코스닥","IT H/W",19350,-50,1128209490000
"164","041960","코미팜","-",20300,"-","-","1,755","11.57",0,0,325,NA,"코스닥","제약",20300,-100,1122962058400
"165","175330","JB금융지주","-",5700,"1,207","4.72","15,630","0.36",100,1.75,2130,NA,"코스피","금융업",5700,110,1122802495800
"166","115390","락앤락","-",20700,"644","32.14","11,609","1.78",130,0.63,2091,NA,"코스피","화학",20700,0,1121662620000
"167","181710","NHN엔터테인먼트","-",57300,"864","66.32","77,006","0.74",0,0,2133,NA,"코스피","서비스업",57300,300,1121075932500
"168","005300","롯데칠성","-",1400000,"108,521","12.9","1,497,124","0.94",33000,2.36,1587,NA,"코스피","음식료품",1400000,-5000,1119084400000
"169","049770","동원F&B","-",287500,"13,313","21.6","153,682","1.87",2500,0.87,1961,NA,"코스피","음식료품",287500,5500,1109498150000
"170","071840","롯데하이마트","-",46650,"6,288","7.42","85,810","0.54",1850,3.97,2001,NA,"코스피","유통업",46650,0,1101299764800
"171","005610","SPC삼립","-",127500,"4,685","27.21","32,469","3.93",956,0.75,1602,NA,"코스피","음식료품",127500,1500,1100198647500
"172","192080","더블유게임즈","-",59800,"2,204","27.13","22,996","2.6",350,0.59,1053,NA,"코스닥","IT S/W & SVC",59800,500,1091188420400
"173","003520","영진약품","-",5940,"10","594","654","9.08",0,0,1505,NA,"코스피","의약품",5940,150,1086382822140
"174","003380","하림지주","-",11500,"2,529","4.55","19,050","0.6",180,1.57,13,NA,"코스닥","금융",11500,-450,1076218277000
"175","001800","오리온홀딩스","-",17100,"39,092","0.44","29,498","0.58",600,3.51,1426,NA,"코스피","금융업",17100,100,1071217410300
"176","035900","JYP Ent.","-",30250,"512","59.08","2,452","12.34",0,0,233,NA,"코스닥","오락·문화",30250,-750,1069495284000
"177","085660","차바이오텍","관리종목",20200,"-","-","4,736","4.27",0,0,707,NA,"코스닥","제약",20200,800,1060048812800
"178","004000","롯데정밀화학","-",41050,"3,503","11.72","46,229","0.89",800,1.95,1528,NA,"코스피","화학",41050,150,1.05909e+12
"179","003690","코리안리","-",8660,"1,068","8.11","17,970","0.48",300,3.46,1520,NA,"코스피","금융업",8660,50,1042396544560
"180","042000","카페24","-",109800,"641","171.29","1,728","63.54",0,0,326,NA,"코스닥","IT S/W & SVC",109800,2100,1035479550600
"181","003090","대웅","-",17800,"1,534","11.6","9,367","1.9",100,0.56,1486,NA,"코스피","금융업",17800,100,1034927244000
"182","012630","HDC","-",17250,"5,763","2.99","38,991","0.44",1000,5.8,1784,NA,"코스피","금융업",17250,-100,1030544687250
"183","185750","종근당","-",102000,"5,211","19.57","38,884","2.62",900,0.88,2135,NA,"코스피","의약품",102000,-1500,1007682072000
"184","006650","대한유화","-",153500,"34,701","4.42","226,646","0.68",4000,2.61,1644,NA,"코스피","화학",153500,3000,9.9775e+11
"185","011210","현대위아","-",36250,"-","-","115,466","0.31",600,1.66,1756,NA,"코스피","운수장비",36250,200,985821758750
"186","069260","휴켐스","-",24100,"2,985","8.07","14,210","1.7",1500,6.22,1990,NA,"코스피","화학",24100,-750,985173970800
"187","178920","SKC코오롱PI","-",33200,"1,116","29.75","8,453","3.93",800,2.41,1029,NA,"코스닥","화학",33200,2300,974961890400
"188","032350","롯데관광개발","-",14550,"67","217.16","3,403","4.28",0,0,1913,NA,"코스피","서비스업",14550,-50,948124181700
"189","010780","아이에스동서","-",30650,"6,355","4.82","34,537","0.89",1100,3.59,1743,NA,"코스피","비금속광물",30650,-300,945655821150
"190","066970","엘앤에프","-",36400,"963","37.8","4,938","7.37",100,0.27,582,NA,"코스닥","IT H/W",36400,800,901179370000
"191","002350","넥센타이어","-",9170,"1,226","7.48","12,821","0.72",100,1.09,1447,NA,"코스피","화학",9170,-20,895614432090
"192","020000","한섬","-",36250,"2,451","14.79","37,575","0.96",350,0.97,1857,NA,"코스피","섬유의복",36250,1250,892837500000
"193","298380","에이비엘바이오","-",20000,"-","-","-","-",0,0,1289,NA,"코스닥","제약",20000,150,8.9174e+11
"194","089590","제주항공","-",33550,"2,960","11.33","12,574","2.67",600,1.79,2040,NA,"코스피","운수창고업",33550,-650,884269230900
"195","170900","동아에스티","-",104500,"-","-","68,830","1.52",500,0.48,2129,NA,"코스피","의약품",104500,500,882384206000
"196","014680","한솔케미칼","-",77500,"4,893","15.84","28,396","2.73",1000,1.29,1802,NA,"코스피","화학",77500,2800,875377612500
"197","001440","대한전선","-",1015,"-","-","378","2.69",0,0,1395,NA,"코스피","전기전자",1015,5,869320104135
"198","001680","대상","-",25050,"1,467","17.08","24,181","1.04",500,2,1413,NA,"코스피","음식료품",25050,500,867933026250
"199","079160","CJ CGV","-",41000,"-","-","14,554","2.82",350,0.85,2016,NA,"코스피","서비스업",41000,-100,867613833000
"200","009410","태영건설","-",11350,"1,321","8.59","12,120","0.94",90,0.79,1711,NA,"코스피","건설업",11350,50,8.6714e+11
"201","122870","와이지엔터테인먼트","-",47500,"996","47.69","17,539","2.71",150,0.32,909,NA,"코스닥","오락·문화",47500,-1200,863821177500
"202","038540","상상인","-",17850,"2,183","8.18","6,162","2.9",0,0,282,NA,"코스닥","IT S/W & SVC",17850,1150,852308886450
"203","009970","영원무역홀딩스","-",62500,"6,169","10.13","65,108","0.96",600,0.96,1725,NA,"코스피","금융업",62500,-200,852224500000
"204","102940","코오롱생명과학","-",74500,"-","-","47,809","1.56",0,0,836,NA,"코스닥","제약",74500,-1100,850220522000
